,Engine_Version,Emi,Price,Fuel_Type,mnf_year,Company,Car_Name,km_drive,Owner
0,Magna 1.2 AT  VTVT Automatic,"₹11,224/month","₹5,74,099",Petrol,2018,Hyundai,Grand i10,"7,299 ",1st
1,LXI Manual,"₹10,606/month","₹5,42,499",Petrol,2019,Maruti,Swift,"12,046 ",2nd
2,"₹11,300off","₹10,473/month","₹5,35,699",Petrol,2018,Hyundai,Grand i10,"6,875 ",2nd
3,MAGNA 1.2 KAPPA VTVT Manual,"₹10,268/month","₹5,25,199",Petrol,2018,Hyundai,Grand i10,"12,362 ",2nd
4,MAGNA 1.2 VTVT Manual,"₹5,183/month","₹2,65,099",Petrol,2012,Hyundai,i20,"75,862 ",3rd
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,VXI 1.3 Manual,"₹4,367/month","₹2,23,399",Petrol,2009,Maruti,Swift Dzire,"26,277 ",2nd
7,1.6 SX VTVT (O) Manual,"₹18,435/month","₹9,81,699",Petrol,2019,Hyundai,Verna,"81,902 ",1st
8,LXI Manual,"₹11,583/month","₹5,92,499",Petrol,2020,Maruti,Swift,"10,806 ",1st
9,LXI Manual,"₹10,428/month","₹5,33,399",Petrol,2019,Maruti,Swift,"27,808 ",1st
10,ERA PLUS Manual,"₹5,069/month","₹2,59,299",Petrol,2016,Hyundai,Eon,"44,329 ",1st
11,LXI Manual,"₹11,020/month","₹5,63,699",Petrol,2019,Maruti,Swift,"18,981 ",1st
12,C 200 AVANTGARDE Automatic,"₹36,039/month","₹19,19,099",Petrol,2014,Mercedes,Benz C Class,"37,531 ",1st
13,"₹8,700off","₹10,029/month","₹5,12,999",Petrol,2019,Hyundai,Grand i10,"20,011 ",2nd
14,LXI Manual,"₹11,269/month","₹5,76,399",Petrol,2019,Maruti,Swift,"15,237 ",1st
15,"₹5,000off","₹13,366/month","₹6,83,699",Petrol,2021,Hyundai,AURA,"4,912 ",1st
16,LXI Manual,"₹11,583/month","₹5,92,499",Petrol,2020,Maruti,Swift,"12,031 ",1st
17,LXI Manual,"₹10,575/month","₹5,40,899",Petrol,2020,Maruti,Swift,"38,382 ",1st
18,"₹1,82,100off","₹32,170/month","₹17,13,099",Petrol,2020,KIA,SELTOS,"8,241 ",1st
19,SHARP HYBRID PETROL Manual,"₹33,263/month","₹17,71,299",Petrol,2021,MG,HECTOR PLUS,"3,587 ",1st
20,MAGNA 1.2 KAPPA2 Manual,"₹5,022/month","₹2,56,899",Petrol,2011,Hyundai,i10,"58,033 ",1st
0,"₹35,100off","₹4,876/month","₹2,49,399",Petrol,2013,Hyundai,i10,"17,221 ",2nd
